Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,164,0.0656
6,1327,0.5308
7,345,0.138
8,151,0.0604
9,110,0.044
10,62,0.0248
11,51,0.0204
12,57,0.0228
13,25,0.01
14,23,0.0092
15,23,0.0092
16,26,0.0104
17,18,0.0072
18,13,0.0052
19,14,0.0056
20,11,0.0044
21,14,0.0056
22,14,0.0056
23,6,0.0024
24,7,0.0028
25,5,0.002
26,5,0.002
27,4,0.0016
28,2,0.0008
29,2,0.0008
30,2,0.0008
32,2,0.0008
33,2,0.0008
36,2,0.0008
39,1,0.0004
43,1,0.0004
44,1,0.0004
46,1,0.0004
49,1,0.0004
50,1,0.0004
53,1,0.0004
59,1,0.0004
60,1,0.0004
